Date,Open,High,Low,Close,Adj Close,Volume
2015-09-10,16.98,17.540001,16.26,16.879998999999998,16.879998999999998,136600
2015-09-11,16.68,17.18,15.84,16.389999,16.389999,129700
2015-09-14,16.34,16.959999,15.29,15.51,15.51,316500
2015-09-15,15.47,16.084999,15.45,15.95,15.95,113100
2015-09-16,19.65,19.969998999999998,18.02,18.34,18.34,1134500
2015-09-17,18.360001,19.99,18.17,19.450001,19.450001,371000
2015-09-18,19.07,19.9,18.51,18.690001000000002,18.690001000000002,2330800
2015-09-21,18.950001,18.950001,15.862,16.959999,16.959999,520600
2015-09-22,16.780001000000002,16.99,16.040001,16.370001000000002,16.370001000000002,406600
2015-09-23,16.549999,16.950001,16.02,16.209999,16.209999,161300
2015-09-24,16.25,16.67,15.51,16.530001000000002,16.530001000000002,205700
2015-09-25,16.719998999999998,16.76,14.32,14.8,14.8,442700
2015-09-28,14.58,14.7,12.175,12.33,12.33,619300
2015-09-29,12.43,13.089,11.88,12.19,12.19,526600
2015-09-30,12.45,13.03,11.81,12.23,12.23,541200
2015-10-01,12.4,12.48,11.8,12.32,12.32,211700
2015-10-02,12.18,13.535,11.99,13.41,13.41,281500
2015-10-05,13.58,14.0,12.79,13.41,13.41,221500
2015-10-06,13.28,13.28,12.02,12.66,12.66,262700
2015-10-07,12.88,13.07,11.85,12.49,12.49,201400
2015-10-08,12.51,12.6,11.7,12.41,12.41,287700
2015-10-09,12.48,12.75,11.97,12.28,12.28,193000
2015-10-12,12.25,12.36,11.86,11.92,11.92,174600
2015-10-13,11.74,12.28,11.65,11.69,11.69,233800
2015-10-14,11.69,12.19,11.16,11.39,11.39,377200
2015-10-15,11.35,12.052,11.22,11.84,11.84,423900
2015-10-16,11.9,12.287,11.65,12.01,12.01,182400
2015-10-19,12.0,12.5,11.71,12.19,12.19,217700
2015-10-20,12.19,12.2,11.6,12.0,12.0,259500
2015-10-21,12.14,12.45,11.75,12.17,12.17,251900
2015-10-22,12.21,12.55,11.9,12.14,12.14,297200
2015-10-23,12.29,12.62,11.81,11.99,11.99,455100
2015-10-26,11.99,12.055,11.58,11.82,11.82,358400
2015-10-27,11.81,11.99,11.49,11.6,11.6,303500
2015-10-28,11.6,11.63,10.91,11.31,11.31,819700
2015-10-29,11.3,11.56,10.83,10.92,10.92,424100
2015-10-30,10.91,11.11,10.68,10.83,10.83,396200
2015-11-02,10.9,11.84,10.9,11.78,11.78,381000
2015-11-03,11.68,12.67,11.61,12.35,12.35,224500
2015-11-04,12.26,12.9,11.64,12.32,12.32,361500
2015-11-05,12.27,13.18,12.03,13.1,13.1,389400
2015-11-06,12.98,13.6,12.47,13.5,13.5,246200
2015-11-09,13.48,13.88,13.07,13.77,13.77,319100
2015-11-10,13.7,13.74,13.14,13.47,13.47,143600
2015-11-11,13.49,13.81,13.25,13.41,13.41,157000
2015-11-12,13.35,13.475,12.81,12.88,12.88,178100
2015-11-13,12.92,13.45,12.61,12.97,12.97,154700
2015-11-16,12.91,13.242,12.35,12.67,12.67,188500
2015-11-17,12.73,13.36,12.47,12.91,12.91,192600
2015-11-18,12.88,14.01,12.77,13.88,13.88,276600
2015-11-19,13.88,13.96,13.28,13.58,13.58,128800
2015-11-20,13.71,14.128,13.34,13.99,13.99,173200
2015-11-23,14.06,14.87,13.95,14.54,14.54,180000
2015-11-24,14.47,14.77,14.33,14.61,14.61,132000
2015-11-25,14.66,15.88,14.66,15.79,15.79,254500
2015-11-27,15.79,16.530001000000002,15.6,16.25,16.25,108100
2015-11-30,16.25,16.6,15.73,16.08,16.08,426500
2015-12-01,16.09,16.200001,15.75,16.02,16.02,233500
2015-12-02,15.97,17.280001000000002,15.93,16.41,16.41,262000
2015-12-03,16.51,16.74,14.19,14.61,14.61,381400
2015-12-04,14.51,14.735,14.22,14.59,14.59,192000
2015-12-07,14.55,14.95,14.12,14.25,14.25,315900
2015-12-08,14.07,14.7,14.01,14.44,14.44,245400
2015-12-09,14.34,14.48,13.4,13.61,13.61,285400
2015-12-10,13.64,14.19,13.48,14.18,14.18,310400
2015-12-11,13.73,14.28,13.48,13.56,13.56,266700
2015-12-14,13.61,13.96,13.45,13.68,13.68,364000
2015-12-15,13.77,14.45,13.7,14.2,14.2,447300
2015-12-16,14.35,15.34,14.11,15.27,15.27,364700
2015-12-17,15.29,15.58,14.63,14.8,14.8,352600
2015-12-18,14.71,15.47,14.67,15.06,15.06,4047900
2015-12-21,15.15,15.27,14.2,14.39,14.39,257100
2015-12-22,14.85,15.55,14.11,15.41,15.41,284000
2015-12-23,15.65,15.69,15.05,15.26,15.26,98000
2015-12-24,15.19,15.44,14.87,14.91,14.91,52500
2015-12-28,14.82,14.82,13.825,13.91,13.91,173900
2015-12-29,14.01,14.58,13.87,14.54,14.54,220200
2015-12-30,14.43,14.81,14.07,14.24,14.24,153600
2015-12-31,14.12,14.73,13.96,14.62,14.62,166700
2016-01-04,14.08,14.29,13.34,13.52,13.52,271200
2016-01-05,13.84,13.84,13.28,13.5,13.5,243500
2016-01-06,13.24,13.39,12.91,13.18,13.18,248500
2016-01-07,12.98,13.0,12.32,12.55,12.55,519800
2016-01-08,12.58,12.8,12.2,12.33,12.33,293700
2016-01-11,12.49,12.49,11.5,11.84,11.84,445900
2016-01-12,11.93,12.54,11.61,12.18,12.18,189800
2016-01-13,12.25,12.33,11.52,11.75,11.75,243400
2016-01-14,11.77,12.69,11.632,12.66,12.66,288900
2016-01-15,12.11,12.55,11.75,12.46,12.46,274300
2016-01-19,12.7,12.98,11.65,11.78,11.78,351500
2016-01-20,11.57,12.44,11.06,12.09,12.09,401200
2016-01-21,12.08,12.44,11.58,12.08,12.08,234300
2016-01-22,12.41,12.48,11.71,12.24,12.24,187800
2016-01-25,12.16,12.655,11.89,12.25,12.25,201300
2016-01-26,12.3,12.63,11.3,12.51,12.51,180200
2016-01-27,12.45,12.59,11.4,11.57,11.57,293300
2016-01-28,11.71,11.76,10.7,10.78,10.78,218700
2016-01-29,10.78,11.2,10.43,10.82,10.82,300500
2016-02-01,10.79,11.475,10.49,10.96,10.96,158500
2016-02-02,10.78,10.81,10.43,10.5,10.5,290300
2016-02-03,10.55,11.0,10.19,10.69,10.69,812500
2016-02-04,10.68,11.49,10.38,10.54,10.54,421200
2016-02-05,10.45,10.91,10.32,10.71,10.71,344900
2016-02-08,10.6,10.617,10.03,10.16,10.16,1434000
2016-02-09,9.98,10.97,9.89,10.68,10.68,224900
2016-02-10,10.78,11.76,10.66,10.97,10.97,250800
2016-02-11,10.7,11.07,10.42,11.01,11.01,211000
2016-02-12,11.14,11.35,10.96,11.3,11.3,151700
2016-02-16,11.42,11.67,10.87,11.5,11.5,134900
2016-02-17,11.58,11.97,11.3,11.81,11.81,178300
2016-02-18,11.64,11.81,11.0,11.075,11.075,112900
2016-02-19,11.07,11.72,10.873,11.34,11.34,117400
2016-02-22,11.45,11.665,11.26,11.44,11.44,110700
2016-02-23,11.35,11.58,10.839,10.85,10.85,285300
2016-02-24,10.85,11.26,10.41,11.24,11.24,248100
2016-02-25,11.24,11.27,10.93,11.04,11.04,120800
2016-02-26,11.12,11.34,10.925,11.14,11.14,121400
2016-02-29,11.11,11.17,10.92,11.0,11.0,219600
2016-03-01,11.04,11.83,10.88,11.8,11.8,139700
2016-03-02,11.74,12.08,10.725,11.84,11.84,194200
2016-03-03,11.78,12.13,11.61,11.77,11.77,119300
2016-03-04,11.74,11.94,11.44,11.54,11.54,116900
2016-03-07,11.41,12.04,11.26,12.0,12.0,214800
2016-03-08,13.85,14.51,12.5,12.83,12.83,707800
2016-03-09,12.9,13.185,12.265,12.94,12.94,413200
2016-03-10,12.6,12.96,11.92,12.15,12.15,236500
2016-03-11,12.2,12.52,11.84,12.5,12.5,159300
2016-03-14,12.49,12.88,12.34,12.73,12.73,227800
2016-03-15,12.56,12.56,11.51,11.735,11.735,252800
2016-03-16,11.72,12.06,11.31,11.54,11.54,164600
2016-03-17,11.55,11.69,10.8,11.47,11.47,200600
2016-03-18,11.53,12.2,11.36,11.98,11.98,445200
2016-03-21,11.83,12.72,11.71,12.35,12.35,161400
2016-03-22,12.22,13.0,12.22,12.89,12.89,182700
2016-03-23,12.82,13.16,12.18,12.26,12.26,138700
2016-03-24,12.16,12.717,11.93,12.43,12.43,156100
2016-03-28,12.51,12.51,11.93,11.96,11.96,133800
2016-03-29,11.94,12.68,11.65,12.62,12.62,211700
2016-03-30,12.73,13.24,12.53,12.89,12.89,180500
2016-03-31,12.93,14.38,12.93,13.42,13.42,394900
2016-04-01,13.32,14.14,13.0,13.94,13.94,158900
2016-04-04,13.97,14.07,13.44,13.5,13.5,187400
2016-04-05,13.35,14.28,13.11,13.83,13.83,225000
2016-04-06,13.87,14.98,13.87,14.94,14.94,309900
2016-04-07,14.79,15.29,14.35,14.75,14.75,331500
2016-04-08,14.98,15.03,14.4,14.48,14.48,193000
2016-04-11,14.61,14.61,13.96,14.03,14.03,137900
2016-04-12,14.01,14.27,13.79,14.02,14.02,139200
2016-04-13,14.22,14.87,14.07,14.74,14.74,483500
2016-04-14,14.83,14.97,14.63,14.73,14.73,132600
2016-04-15,14.63,14.8,14.43,14.57,14.57,128400
2016-04-18,14.5,15.05,14.29,14.5,14.5,208800
2016-04-19,14.54,14.65,14.08,14.33,14.33,240400
2016-04-20,14.37,14.57,13.95,14.15,14.15,107000
2016-04-21,14.13,14.72,14.13,14.49,14.49,126000
2016-04-22,14.4,14.62,13.97,14.1,14.1,303500
2016-04-25,14.01,14.37,13.85,13.89,13.89,197000
2016-04-26,13.9,13.938,12.9,13.38,13.38,341800
2016-04-27,13.3,13.36,12.95,13.12,13.12,151200
2016-04-28,13.11,13.46,12.84,12.89,12.89,168500
2016-04-29,12.81,12.87,12.04,12.25,12.25,170500
2016-05-02,12.33,12.33,11.52,12.33,12.33,250900
2016-05-03,11.54,12.55,11.37,11.9,11.9,336700
2016-05-04,11.79,11.79,10.96,11.06,11.06,317100
2016-05-05,11.13,11.5,10.995,11.26,11.26,345100
2016-05-06,11.18,11.44,10.954,11.33,11.33,262200
2016-05-09,11.39,11.99,11.31,11.78,11.78,119700
2016-05-10,11.85,12.01,11.14,11.61,11.61,108400
2016-05-11,11.54,11.6,11.25,11.32,11.32,132600
2016-05-12,11.41,11.52,11.14,11.39,11.39,165300
2016-05-13,11.32,11.84,11.32,11.78,11.78,169800
2016-05-16,11.86,12.61,11.86,12.42,12.42,207600
2016-05-17,12.38,12.78,12.02,12.11,12.11,139400
2016-05-18,12.02,12.6,11.6,12.41,12.41,100000
2016-05-19,12.33,12.73,11.98,12.56,12.56,137200
2016-05-20,12.65,13.3,12.58,13.03,13.03,166600
2016-05-23,13.04,13.61,13.03,13.1,13.1,160700
2016-05-24,13.0,13.35,12.81,13.28,13.28,185700
2016-05-25,13.4,14.08,13.025,13.58,13.58,187800
2016-05-26,13.58,13.67,13.4,13.54,13.54,76800
2016-05-27,13.57,13.92,13.51,13.82,13.82,56900
2016-05-31,13.96,14.39,13.94,14.13,14.13,198000
2016-06-01,14.08,14.58,13.895,14.35,14.35,206200
2016-06-02,14.33,14.66,14.0,14.55,14.55,214400
2016-06-03,14.49,14.78,14.02,14.42,14.42,164100
2016-06-06,14.44,15.0,14.03,14.95,14.95,191200
2016-06-07,14.92,14.92,14.4,14.5,14.5,186900
2016-06-08,14.52,14.53,14.18,14.44,14.44,101500
2016-06-09,14.33,14.77,13.987,14.66,14.66,216700
2016-06-10,14.37,14.66,14.03,14.48,14.48,212700
2016-06-13,14.37,14.81,13.86,14.11,14.11,135800
2016-06-14,14.07,14.34,13.39,14.0,14.0,211200
2016-06-15,14.12,14.28,13.97,14.16,14.16,117700
2016-06-16,14.06,14.22,13.8,14.18,14.18,99500
2016-06-17,14.23,14.39,13.62,13.99,13.99,448800
2016-06-20,14.18,14.5,13.46,14.26,14.26,129100
2016-06-21,14.33,14.33,13.57,13.7,13.7,154400
2016-06-22,13.7,14.5,13.585,13.99,13.99,132800
2016-06-23,14.12,14.47,14.09,14.43,14.43,162700
2016-06-24,13.72,14.13,13.35,13.4,13.4,568300
2016-06-27,13.27,13.27,12.51,12.54,12.54,199400
2016-06-28,15.1,18.188999,14.78,16.559998999999998,16.559998999999998,3146200
2016-06-29,17.129998999999998,18.610001,16.540001,18.51,18.51,1106300
2016-06-30,18.43,19.76,18.32,18.99,18.99,663300
2016-07-01,19.0,19.190001000000002,18.59,18.93,18.93,392500
2016-07-05,18.83,19.07,18.41,18.77,18.77,245900
2016-07-06,18.66,19.1,18.620001000000002,18.84,18.84,207000
2016-07-07,19.0,19.049999,17.99,18.540001,18.540001,316100
2016-07-08,18.6,18.809998999999998,18.030001000000002,18.620001000000002,18.620001000000002,274400
2016-07-11,18.67,18.690001000000002,17.92,17.93,17.93,235500
2016-07-12,17.93,18.709999,17.65,18.290001,18.290001,301800
2016-07-13,18.48,18.700001,17.76,18.190001000000002,18.190001000000002,288100
2016-07-14,18.389999,18.389999,17.879998999999998,17.959999,17.959999,217300
2016-07-15,18.1,18.459999,17.77,18.379998999999998,18.379998999999998,287700
2016-07-18,18.43,18.945,18.07,18.280001000000002,18.280001000000002,245000
2016-07-19,18.27,18.42,17.68,17.790001,17.790001,147500
2016-07-20,17.9,18.868999,17.9,18.24,18.24,161200
2016-07-21,18.41,18.67,18.24,18.639999,18.639999,371900
2016-07-22,18.66,18.999001,18.1,18.360001,18.360001,222400
2016-07-25,18.450001,18.719998999999998,18.1,18.49,18.49,145600
2016-07-26,18.459999,18.790001,18.18,18.27,18.27,152900
2016-07-27,18.360001,18.879998999999998,18.219998999999998,18.780001000000002,18.780001000000002,276300
2016-07-28,18.82,18.91,18.280001000000002,18.559998999999998,18.559998999999998,177200
2016-07-29,18.549999,19.190001000000002,18.549999,18.940001000000002,18.940001000000002,341300
2016-08-01,18.99,19.440001000000002,18.83,19.35,19.35,374900
2016-08-02,19.33,19.514999,18.809998999999998,19.280001000000002,19.280001000000002,159500
2016-08-03,19.99,21.809998999999998,19.635,21.16,21.16,541100
2016-08-04,21.309998999999998,21.9,20.700001,21.5,21.5,330800
2016-08-05,21.620001000000002,22.48,21.565001000000002,22.440001000000002,22.440001000000002,277500
2016-08-08,22.389999,22.620001000000002,21.049999,21.49,21.49,260500
2016-08-09,21.57,22.01,21.530001000000002,21.889999,21.889999,255500
2016-08-10,21.809998999999998,21.959999,21.280001000000002,21.639999,21.639999,183000
2016-08-11,21.639999,22.209999,21.35,21.83,21.83,249000
2016-08-12,21.620001000000002,22.34,21.57,22.25,22.25,153100
2016-08-15,22.4,23.299999,22.4,23.0,23.0,327800
2016-08-16,22.99,22.99,21.77,21.790001,21.790001,338300
2016-08-17,21.860001,21.950001,21.209999,21.65,21.65,304400
2016-08-18,21.65,21.74,21.23,21.57,21.57,210200
2016-08-19,21.440001000000002,21.99,21.41,21.75,21.75,194800
2016-08-22,21.75,21.950001,21.51,21.76,21.76,209800
2016-08-23,21.76,21.799999,21.469998999999998,21.67,21.67,308800
2016-08-24,21.790001,22.48,20.959999,21.32,21.32,438900
2016-08-25,21.290001,21.530001000000002,20.450001,20.860001,20.860001,242500
2016-08-26,20.84,21.76,19.833,21.469998999999998,21.469998999999998,216700
2016-08-29,21.629998999999998,21.889999,20.959999,21.49,21.49,100800
2016-08-30,21.440001000000002,22.049999,21.4,21.790001,21.790001,183200
2016-08-31,21.700001,21.700001,20.51,21.129998999999998,21.129998999999998,371000
2016-09-01,21.190001000000002,21.440001000000002,20.790001,21.43,21.43,115200
2016-09-02,21.43,21.43,20.27,20.35,20.35,193500
2016-09-06,20.48,20.889999,20.4,20.639999,20.639999,285200
2016-09-07,20.709999,21.285,20.709999,21.190001000000002,21.190001000000002,276900
2016-09-08,21.09,21.49,20.93,21.43,21.43,134700
2016-09-09,21.139999,21.469998999999998,20.530001000000002,20.559998999999998,20.559998999999998,155000
2016-09-12,20.48,22.08,20.040001,21.99,21.99,310000
2016-09-13,21.709999,22.08,20.790001,21.85,21.85,227300
2016-09-14,21.93,23.459999,21.620001000000002,23.389999,23.389999,238500
2016-09-15,23.559998999999998,24.549999,23.450001,24.040001,24.040001,320500
2016-09-16,24.15,24.74,23.4,24.629998999999998,24.629998999999998,685000
2016-09-19,24.870001000000002,25.339001,24.4,24.879998999999998,24.879998999999998,271900
2016-09-20,25.35,25.570999,24.51,24.709999,24.709999,302600
2016-09-21,24.84,24.93,23.690001000000002,24.74,24.74,206700
2016-09-22,24.879998999999998,25.629998999999998,24.5,25.17,25.17,242400
2016-09-23,25.209999,25.635,24.99,25.059998999999998,25.059998999999998,195500
2016-09-26,24.84,25.139999,24.549999,24.68,24.68,95800
2016-09-27,24.790001,26.24,24.68,26.190001000000002,26.190001000000002,304000
2016-09-28,26.25,26.5,24.26,25.27,25.27,320500
2016-09-29,25.4,25.6,24.34,24.379998999999998,24.379998999999998,303900
2016-09-30,24.469998999999998,24.683001,23.559998999999998,24.49,24.49,320600
2016-10-03,24.34,24.639999,23.280001000000002,24.58,24.58,191100
2016-10-04,25.110001,25.305,24.209999,24.719998999999998,24.719998999999998,175700
2016-10-05,24.5,24.52,23.690001000000002,23.73,23.73,338600
2016-10-06,23.43,23.98,22.870001000000002,23.27,23.27,313200
2016-10-07,23.43,23.43,22.76,23.075001,23.075001,380200
2016-10-10,23.049999,24.0,22.93,23.959999,23.959999,183200
2016-10-11,23.719998999999998,23.9,22.52,22.73,22.73,212300
2016-10-12,22.780001000000002,23.040001,21.209999,21.33,21.33,269000
2016-10-13,20.959999,21.620001000000002,20.809998999999998,21.370001000000002,21.370001000000002,243700
2016-10-14,21.48,21.48,20.27,20.32,20.32,276100
2016-10-17,20.290001,20.639999,19.799999,20.43,20.43,215900
2016-10-18,20.690001000000002,20.885,20.440001000000002,20.67,20.67,228300
2016-10-19,20.52,20.629998999999998,20.209999,20.450001,20.450001,189400
2016-10-20,20.42,21.74,20.33,21.68,21.68,165700
2016-10-21,21.370001000000002,21.761,21.030001000000002,21.299999,21.299999,126300
2016-10-24,21.35,21.540001,21.139999,21.27,21.27,115700
2016-10-25,21.290001,21.754998999999998,21.040001,21.129998999999998,21.129998999999998,168000
2016-10-26,21.15,21.15,19.93,20.139999,20.139999,234600
2016-10-27,20.26,21.16,20.219998999999998,20.559998999999998,20.559998999999998,197500
2016-10-28,20.42,20.98,19.969998999999998,20.690001000000002,20.690001000000002,162500
2016-10-31,20.73,21.4,20.25,21.290001,21.290001,293800
2016-11-01,21.24,21.280001000000002,20.370001000000002,20.91,20.91,198100
2016-11-02,20.790001,20.860001,20.370001000000002,20.51,20.51,222600
2016-11-03,20.540001,21.16,18.450001,18.610001,18.610001,726300
2016-11-04,18.629998999999998,19.799999,18.629998999999998,19.360001,19.360001,276000
2016-11-07,19.85,20.309998999999998,19.360001,19.93,19.93,362200
2016-11-08,19.77,20.205,19.65,19.870001000000002,19.870001000000002,160600
2016-11-09,21.27,22.42,21.200001,22.26,22.26,484400
2016-11-10,22.32,22.719998999999998,21.450001,22.43,22.43,422100
2016-11-11,22.360001,22.98,22.17,22.709999,22.709999,521400
2016-11-14,23.110001,25.700001,23.07,25.700001,25.700001,780800
2016-11-15,25.07,26.77,24.886999,26.67,26.67,325200
2016-11-16,26.530001000000002,27.540001,25.825001,25.879998999999998,25.879998999999998,245300
2016-11-17,25.85,26.85,25.457001,26.780001000000002,26.780001000000002,215000
2016-11-18,26.92,27.379998999999998,26.370001000000002,26.799999,26.799999,184700
2016-11-21,26.85,27.209999,26.139999,26.799999,26.799999,158500
2016-11-22,26.940001000000002,27.129998999999998,26.040001,26.280001000000002,26.280001000000002,181300
2016-11-23,25.68,26.83,24.74,26.77,26.77,163400
2016-11-25,26.969998999999998,27.32,25.99,27.17,27.17,76900
2016-11-28,27.209999,28.09,26.0,26.0,26.0,187700
2016-11-29,26.15,26.719998999999998,24.370001000000002,26.34,26.34,231500
2016-11-30,26.5,27.145,25.49,25.559998999999998,25.559998999999998,200800
2016-12-01,24.75,25.49,24.1,24.700001,24.700001,1591500
2016-12-02,24.65,26.75,24.280001000000002,26.110001,26.110001,693600
2016-12-05,26.360001,26.915001,25.761,26.4,26.4,397600
2016-12-06,26.41,28.530001000000002,25.879998999999998,28.389999,28.389999,443400
2016-12-07,27.719998999999998,29.379998999999998,25.75,26.879998999999998,26.879998999999998,438600
2016-12-08,27.25,27.42,25.950001,27.030001000000002,27.030001000000002,349600
2016-12-09,27.18,28.469998999999998,26.82,27.299999,27.299999,524500
2016-12-12,27.120001000000002,27.49,25.58,25.690001000000002,25.690001000000002,231100
2016-12-13,26.01,26.809998999999998,25.49,25.49,25.49,252200
2016-12-14,25.549999,25.9,24.58,24.66,24.66,246600
2016-12-15,24.860001,25.82,24.49,25.684998999999998,25.684998999999998,290800
2016-12-16,25.620001000000002,26.74,25.620001000000002,25.985001,25.985001,781100
2016-12-19,25.959999,27.379998999999998,25.959999,26.76,26.76,270200
2016-12-20,26.879998999999998,27.52,26.52,26.700001,26.700001,272600
2016-12-21,26.690001000000002,26.799999,25.93,26.17,26.17,170800
2016-12-22,26.32,26.645,25.511999,25.889999,25.889999,127100
2016-12-23,25.969998999999998,27.49,25.969998999999998,27.459999,27.459999,162600
2016-12-27,27.24,27.93,26.74,26.780001000000002,26.780001000000002,140200
2016-12-28,26.809998999999998,27.18,26.02,26.16,26.16,165100
2016-12-29,26.26,26.9,26.245001000000002,26.450001,26.450001,143500
2016-12-30,26.32,26.969998999999998,25.945,26.32,26.32,135800
2017-01-03,26.75,26.879998999999998,24.896,25.129998999999998,25.129998999999998,266300
2017-01-04,25.25,26.0,25.120001000000002,25.67,25.67,320500
2017-01-05,25.68,25.915001,24.76,24.83,24.83,250700
2017-01-06,24.99,26.389999,24.790001,25.809998999999998,25.809998999999998,460800
2017-01-09,26.120001000000002,26.26,25.030001000000002,25.42,25.42,292000
2017-01-10,25.639999,26.34,25.34,26.09,26.09,362000
2017-01-11,26.0,26.302999,24.82,25.299999,25.299999,219000
2017-01-12,25.01,26.0,25.01,25.75,25.75,161800
2017-01-13,25.809998999999998,26.76,25.780001000000002,26.16,26.16,158100
2017-01-17,26.08,26.08,23.219998999999998,23.309998999999998,23.309998999999998,449100
2017-01-18,23.52,23.93,22.895,23.309998999999998,23.309998999999998,352800
2017-01-19,23.290001,23.690001000000002,22.74,22.75,22.75,299600
2017-01-20,22.809998999999998,22.82,21.68,21.74,21.74,240100
2017-01-23,21.77,22.030001000000002,21.209999,21.67,21.67,310200
2017-01-24,21.73,21.860001,21.09,21.809998999999998,21.809998999999998,273800
2017-01-25,22.030001000000002,22.780001000000002,21.77,22.719998999999998,22.719998999999998,194700
2017-01-26,22.67,22.709999,22.040001,22.15,22.15,103500
2017-01-27,22.24,22.629998999999998,21.84,22.6,22.6,288000
2017-01-30,22.440001000000002,24.120001000000002,21.559998999999998,22.549999,22.549999,177200
2017-01-31,22.379998999999998,23.895,21.6,23.83,23.83,210900
2017-02-01,24.040001,24.530001000000002,23.51,23.709999,23.709999,165600
2017-02-02,23.969998999999998,24.879998999999998,23.299999,24.469998999999998,24.469998999999998,268200
2017-02-03,24.66,25.959999,24.01,24.459999,24.459999,157000
2017-02-06,24.360001,24.870001000000002,23.77,23.959999,23.959999,176800
2017-02-07,24.0,24.200001,23.59,23.76,23.76,189500
2017-02-08,23.639999,24.309998999999998,23.370001000000002,23.75,23.75,184800
2017-02-09,23.719998999999998,24.35,23.23,23.74,23.74,178700
2017-02-10,23.75,24.32,23.48,23.75,23.75,143200
2017-02-13,23.75,23.870001000000002,23.43,23.540001,23.540001,128000
2017-02-14,23.49,24.059998999999998,23.33,23.82,23.82,143100
2017-02-15,23.66,24.059998999999998,23.440001000000002,23.99,23.99,152700
2017-02-16,24.040001,24.25,23.469998999999998,23.780001000000002,23.780001000000002,190400
2017-02-17,23.799999,24.51,23.605,24.280001000000002,24.280001000000002,357200
2017-02-21,24.25,24.870001000000002,24.08,24.530001000000002,24.530001000000002,176400
2017-02-22,24.459999,24.459999,23.33,23.4,23.4,251600
2017-02-23,23.469998999999998,23.469998999999998,22.66,22.85,22.85,153900
2017-02-24,22.690001000000002,23.34,22.549999,22.799999,22.799999,119100
2017-02-27,22.860001,24.879998999999998,22.684,24.77,24.77,253700
2017-02-28,24.74,25.27,24.280001000000002,24.85,24.85,210500
2017-03-01,25.6,28.639999,25.209999,26.65,26.65,750300
2017-03-02,26.620001000000002,27.195999,25.959999,26.135,26.135,513300
2017-03-03,26.08,26.49,25.540001,26.129998999999998,26.129998999999998,288400
2017-03-06,25.91,25.959999,25.084999,25.27,25.27,248800
2017-03-07,24.93,25.139999,24.215,24.540001,24.540001,231500
2017-03-08,24.610001,25.280001000000002,24.32,24.514999,24.514999,159100
2017-03-09,24.540001,24.99,24.209999,24.684998999999998,24.684998999999998,122000
2017-03-10,24.940001000000002,24.940001000000002,24.15,24.82,24.82,197400
2017-03-13,24.73,24.75,24.0,24.23,24.23,169700
2017-03-14,24.040001,24.219998999999998,23.690001000000002,23.82,23.82,169700
2017-03-15,23.91,24.959999,23.91,24.82,24.82,242300
2017-03-16,24.75,24.75,23.85,24.040001,24.040001,292400
2017-03-17,23.799999,24.23,23.280001000000002,24.110001,24.110001,580100
2017-03-20,23.950001,24.719998999999998,23.49,24.389999,24.389999,241000
2017-03-21,24.49,24.75,23.16,23.24,23.24,300600
2017-03-22,22.92,23.700001,22.799999,23.26,23.26,222900
2017-03-23,23.299999,24.049999,23.125,23.709999,23.709999,232900
2017-03-24,23.85,24.690001000000002,23.535,24.530001000000002,24.530001000000002,170500
2017-03-27,24.24,24.719998999999998,23.23,24.299999,24.299999,172400
2017-03-28,24.26,24.379998999999998,23.34,23.530001000000002,23.530001000000002,160900
2017-03-29,23.57,23.790001,23.030001000000002,23.309998999999998,23.309998999999998,148500
2017-03-30,23.25,23.68,22.965,23.379998999999998,23.379998999999998,164600
2017-03-31,23.33,24.110001,23.209999,23.92,23.92,359700
2017-04-03,24.02,25.24,23.865,24.290001,24.290001,330700
2017-04-04,24.25,24.530001000000002,23.450001,23.82,23.82,311300
2017-04-05,23.889999,24.5,22.940001000000002,22.99,22.99,269600
2017-04-06,23.16,23.25,22.540001,23.0,23.0,289400
2017-04-07,22.91,23.120001000000002,22.690001000000002,22.99,22.99,503100
2017-04-10,23.1,23.77,22.780001000000002,22.84,22.84,237200
2017-04-11,22.969998999999998,22.969998999999998,22.15,22.290001,22.290001,164500
2017-04-12,22.200001,22.639999,22.08,22.26,22.26,122900
2017-04-13,22.24,22.950001,22.23,22.450001,22.450001,90300
2017-04-17,22.51,22.809998999999998,22.15,22.43,22.43,107900
2017-04-18,22.34,22.67,22.139999,22.549999,22.549999,101500
2017-04-19,22.690001000000002,23.360001,22.559998999999998,22.879998999999998,22.879998999999998,288800
2017-04-20,22.780001000000002,23.200001,22.68,23.15,23.15,130600
2017-04-21,23.110001,23.34,22.67,23.299999,23.299999,144900
2017-04-24,23.620001000000002,24.6,23.605,24.540001,24.540001,209600
2017-04-25,24.799999,25.17,24.700001,24.98,24.98,291400
2017-04-26,25.02,25.98,24.629998999999998,25.6,25.6,417000
2017-04-27,25.65,26.040001,25.35,25.77,25.77,142000
2017-04-28,25.799999,26.059998999999998,25.34,25.67,25.67,85100
2017-05-01,25.709999,26.035,25.32,25.98,25.98,474200
2017-05-02,26.049999,26.23,24.23,24.370001000000002,24.370001000000002,231000
2017-05-03,24.33,24.57,23.76,24.120001000000002,24.120001000000002,161100
2017-05-04,24.24,24.41,23.879998999999998,24.09,24.09,94800
2017-05-05,24.17,24.25,23.700001,24.129998999999998,24.129998999999998,114300
2017-05-08,24.049999,24.264999,23.67,23.799999,23.799999,142700
2017-05-09,23.91,24.32,23.665001,24.1,24.1,189200
